subject,trials,scenario,condition,Wave,Fp1,Fpz,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,CP5,CP1,CP2,CP6,P7,P3,Pz,P4,P8,POz,O1,Oz,O2
s04,5,easy,feedback,delta,2.0768728256225586,2.126411199569702,2.0357182025909424,1.9418911933898928,2.182226181030273,2.295701265335083,2.182436227798462,2.034080266952514,2.0308494567871094,2.0208706855773926,2.080254316329956,1.890297532081604,1.7893620729446411,1.7717421054840088,1.9909875392913816,1.7479617595672607,1.4642200469970703,1.5383676290512085,1.8218122720718384,1.7809510231018066,1.3973867893218994,1.2394949197769165,1.7665729522705078,2.01232385635376,1.649176836013794,1.3640251159667969,1.5392014980316162,1.1653389930725098,1.2353798151016235,1.1403743028640747
s05,3,easy,feedback,delta,1.6282228231430054,1.5315101146697998,1.490383863449097,1.1069430112838743,2.055592536926269,2.299179077148437,2.0304269790649414,1.3995882272720337,1.4762119054794312,2.077558994293213,2.224620819091797,1.5811235904693604,1.0228232145309448,1.936217188835144,2.2442190647125244,1.8145637512207031,1.2287272214889526,0.9920140504837036,1.7888376712799072,1.921625733375549,1.3564505577087402,0.6555908918380737,1.3066222667694092,1.6167961359024048,1.4649608135223389,1.2527724504470823,1.3065731525421145,0.8837248086929321,0.8952049016952515,0.8944886326789856
s06,5,easy,feedback,delta,2.482503652572632,2.159783363342285,2.470958948135376,2.019624710083008,2.1074440479278564,2.245189905166626,2.093639850616455,2.142717123031616,1.7321182489395142,2.033316373825073,1.9845300912857056,1.707269310951233,1.17585027217865,1.7003847360610962,2.0167324542999268,1.6262609958648682,1.1051111221313477,1.2446527481079102,1.6851592063903809,1.596235990524292,1.28286874294281,0.9852114319801332,1.181737184524536,1.372365951538086,1.3006556034088137,0.6943240165710449,1.3673404455184937,0.8445180654525757,1.3753013610839844,0.8898104429244995
s08,4,easy,feedback,delta,1.6877410411834717,1.5719646215438845,1.5493414402008057,1.7324957847595217,1.82069730758667,1.9458197355270384,1.6876230239868164,1.3184837102890017,1.4571232795715332,2.022823095321656,1.7596043348312378,1.5455608367919922,1.1848325729370115,1.6565483808517456,1.8066954612731927,1.4373064041137695,1.1155961751937866,1.2987453937530518,1.691144347190857,1.550687313079834,1.057979702949524,1.0063447952270508,1.318987488746643,1.5537787675857544,1.1140923500061035,0.8683789372444153,0.9340699315071106,0.9237779378890992,0.9210491180419922,0.9234806299209596
s08,7,easy,feedback,delta,1.214509129524231,1.3887357711791992,1.2545981407165527,1.638498067855835,1.6313530206680298,1.8451765775680544,1.5575491189956665,1.6512234210968018,1.3900816440582275,2.02824068069458,1.6197947263717651,1.533851146697998,1.0795177221298218,1.6211836338043213,1.6865863800048828,1.3726929426193235,1.159876585006714,1.1613446474075315,1.6334606409072876,1.4949851036071775,1.0095431804656982,0.8729984164237976,1.361070990562439,1.554506540298462,1.136894702911377,0.7450730800628662,0.90492582321167,0.8847569823265076,0.8843468427658081,0.8849286437034607
s09,8,easy,feedback,delta,2.1402933597564697,2.238853931427002,2.341108083724976,1.8740633726119995,2.1312289237976074,2.41937255859375,2.465256929397583,2.369964361190796,1.6461881399154663,2.104054450988769,2.239564895629883,1.9972078800201416,1.3001360893249512,1.6540032625198364,1.995035648345948,1.7097725868225098,1.502913236618042,1.1415661573410034,1.5808420181274414,1.4887782335281372,1.406076192855835,0.9512542486190796,1.2231591939926147,1.3363994359970093,1.2318791151046753,1.1032993793487549,1.1174399852752686,0.8656557202339172,0.8971393704414368,0.9021321535110474
s10,6,easy,feedback,delta,1.9044148921966555,1.986666560173035,1.863443851470948,1.6281633377075195,1.890520691871643,1.894020795822144,1.893238306045532,1.98987364768982,1.5909910202026367,1.957921266555786,1.899612307548523,1.7343800067901611,1.087458252906799,1.5777130126953125,1.955743670463562,1.701714038848877,1.2180132865905762,1.2396804094314575,1.706324338912964,1.6706430912017822,1.3385963439941406,0.9431922435760498,1.5772929191589355,1.643490195274353,1.4774470329284668,1.027289628982544,1.4799660444259644,1.102995991706848,1.095646619796753,1.100635290145874
s03,4,easy,feedback,gamma,0.3193480372428894,0.3330043852329254,0.3348623216152191,0.3102546632289886,0.341313898563385,0.3593055605888366,0.397630363702774,0.3412651419639587,0.3020747303962707,0.291087657213211,0.2977102696895599,0.3029195070266723,0.1862071305513382,0.2741680443286896,0.2764099240303039,0.2677657008171081,0.2281034737825393,0.2388428449630737,0.2671047747135162,0.2602665424346924,0.2610372900962829,0.1881517469882965,0.2395360916852951,0.2484809905290603,0.2484912127256393,0.4080179631710052,0.2237692773342132,0.2200698107481002,0.2121631354093551,0.2258941680192947
s04,5,easy,feedback,gamma,0.3255457878112793,0.3230106234550476,0.3126364648342132,0.3156647086143493,0.3155324459075928,0.3064127266407013,0.3108119368553161,0.343511700630188,0.3111787438392639,0.2801768779754638,0.2921391129493713,0.3574589192867279,0.6331403255462646,0.2582892775535583,0.2788525819778442,0.2844617068767547,0.6330511569976807,0.2589543461799621,0.2476904839277267,0.2611780762672424,0.2585780322551727,0.2666701674461365,0.2463048249483108,0.2657263875007629,0.2728677988052368,0.3113220632076263,0.2618861794471741,0.3296372890472412,0.3541431725025177,0.4328816533088684
s05,3,easy,feedback,gamma,0.4690865874290466,0.3322486281394958,0.361562430858612,0.613211989402771,0.3676257729530334,0.3090462684631347,0.3624893724918365,0.5192877054214478,0.3451980352401733,0.2770678400993347,0.2795757353305816,0.3368676900863647,0.306134283542633,0.2752116322517395,0.2499119341373443,0.2759224474430084,0.6925792694091797,0.2369842231273651,0.2509421110153198,0.2264208048582077,0.2454133033752441,0.1854333728551864,0.2661175429821014,0.2337232381105423,0.2392362803220749,0.3030513226985931,0.2627941966056824,0.3619269132614136,0.3233654201030731,0.2921834886074066
s06,5,easy,feedback,gamma,0.4992435574531555,0.3279345333576202,0.6458684802055359,0.4585368633270263,0.3140744864940643,0.2904505133628845,0.346342384815216,0.4335536956787109,0.4129165709018707,0.2497475147247314,0.2506237328052521,0.3769316077232361,0.3899822235107422,0.2757158875465393,0.2237805128097534,0.2723312973976135,0.1852444112300872,0.2213828861713409,0.2120659798383712,0.1990474164485931,0.2147202491760254,0.1833660304546356,0.1989038437604904,0.2340422421693802,0.1745340675115585,0.1287447065114975,0.23511803150177,0.1300012767314911,0.2373447865247726,0.1415550708770752
s08,4,easy,feedback,gamma,0.7348605394363403,0.4477086961269378,0.5670136213302612,0.595655083656311,0.4910576939582824,0.4074270725250244,0.5948070287704468,0.3765020370483398,0.6523332595825195,0.3806107640266418,0.3667342662811279,0.4826681613922119,0.6291908621788025,0.3816923201084137,0.328269898891449,0.3290494382381439,0.7413640022277832,0.3443083763122558,0.3054108321666717,0.2821833193302154,0.2743874490261078,0.2875089645385742,0.2851539552211761,0.2769734263420105,0.2660250067710876,0.2548511624336242,0.3617820143699646,0.3736293613910675,0.3696170747280121,0.3686641454696655
s08,7,easy,feedback,gamma,0.7725041508674622,0.5187894105911255,0.7370877861976624,0.6679410934448242,0.4796122908592224,0.3962001204490661,0.6630937457084656,0.430478036403656,0.6714481115341187,0.3694585561752319,0.3808132410049438,0.5533453822135925,0.4757806658744812,0.330994188785553,0.3199410438537597,0.3168687522411346,0.6231666803359985,0.2224003970623016,0.2797780632972717,0.2804016172885895,0.2648774981498718,0.2365949153900146,0.2388292253017425,0.254799336194992,0.2655554413795471,0.2361538410186767,0.2698044180870056,0.2754262089729309,0.2736566662788391,0.2752212285995483
s09,8,easy,feedback,gamma,0.3134601712226867,0.3295790553092956,0.3555161356925964,0.3066311478614807,0.2937417924404144,0.2894581854343414,0.3057497441768646,0.3615573644638061,0.2607845664024353,0.2761710286140442,0.2783167958259582,0.2592872083187103,0.2375566065311432,0.2492591589689254,0.2751413881778717,0.2576518952846527,0.2329561412334442,0.2140501290559768,0.2700433135032654,0.2734764218330383,0.2456575334072113,0.1999007165431976,0.2747479081153869,0.3018937110900879,0.3139239549636841,0.2395965158939361,0.4125930666923523,0.4823305010795593,0.3816303610801697,0.4613751769065857
